// Data mode  : Quaternion
// Transmission speed  : 50Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,QUATERNION_W,QUATERNION_X,QUATERNION_Y,QUATERNION_Z
,198,2018/03/15 00:39:17.03,-396243272,55039209,90414553,-992324882
,199,2018/03/15 00:39:17.05,-395421522,54620447,90439121,-992673511
,200,2018/03/15 00:39:17.07,-394548430,54166657,90497356,-993040405
,201,2018/03/15 00:39:17.09,-393637153,53670274,90483869,-993430153
,202,2018/03/15 00:39:17.11,-392687653,53170735,90431781,-993837452
,203,2018/03/15 00:39:17.13,-391684949,52627875,90361956,-994268290
,204,2018/03/15 00:39:17.15,-390653218,52056881,90319362,-994708030
,205,2018/03/15 00:39:17.17,-389591518,51458171,90318527,-995155554
,206,2018/03/15 00:39:17.19,-388537303,50829467,90372265,-995595043
,207,2018/03/15 00:39:17.21,-387508010,50219470,90407342,-996023879
,208,2018/03/15 00:39:17.23,-386538992,49664310,90451972,-996424112
,209,2018/03/15 00:39:17.25,-385661447,49179051,90471190,-996786407
,210,2018/03/15 00:39:17.27,-384901812,48728432,90471673,-997102060
,211,2018/03/15 00:39:17.29,-384256606,48298287,90491862,-997369975
,212,2018/03/15 00:39:17.31,-383720728,47844857,90599554,-997588342
,213,2018/03/15 00:39:17.33,-383249378,47351644,90809971,-997773918
,214,2018/03/15 00:39:17.35,-382770152,46878607,91065067,-997956947
,215,2018/03/15 00:39:17.37,-382240360,46486771,91394560,-998148200
,216,2018/03/15 00:39:17.39,-381643438,46085045,91728592,-998364576
,217,2018/03/15 00:39:17.41,-380992012,45610568,91969740,-998612957
,218,2018/03/15 00:39:17.43,-380344329,45324937,92166733,-998854665
,219,2018/03/15 00:39:17.45,-379812740,45263902,92370742,-999040847
,220,2018/03/15 00:39:17.47,-379431288,45275865,92653702,-999159043
,221,2018/03/15 00:39:17.49,-379165977,45277283,92950481,-999232127
,222,2018/03/15 00:39:17.51,-378949996,45177951,93245926,-999291028
,223,2018/03/15 00:39:17.53,-378614167,45025332,93626071,-999389663
,224,2018/03/15 00:39:17.55,-377999459,44741162,94089651,-999591558
,225,2018/03/15 00:39:17.57,-377362304,44525033,94387718,-999813823
,226,2018/03/15 00:39:17.59,-376743000,44447637,94524987,-1000037826
,227,2018/03/15 00:39:17.61,-376281411,44580831,94436423,-1000214036
,228,2018/03/15 00:39:17.63,-375909018,44845076,94272973,-1000357657
,229,2018/03/15 00:39:17.65,-375565923,45099009,94013184,-1000499548
,230,2018/03/15 00:39:17.67,-375280161,45352088,93713931,-1000623403
,231,2018/03/15 00:39:17.69,-375067676,45731970,93403530,-1000714801
,232,2018/03/15 00:39:17.71,-374916218,46170377,93134775,-1000776472
,233,2018/03/15 00:39:17.73,-374786802,46636521,92912751,-1000823968
,234,2018/03/15 00:39:17.75,-374655955,47112915,92801398,-1000860977
,235,2018/03/15 00:39:17.77,-374492323,47596850,92768150,-1000902402
,236,2018/03/15 00:39:17.79,-374303948,48086552,92777466,-1000948594
,237,2018/03/15 00:39:17.81,-373968826,48732845,92791526,-1001041291
